"MajorFolder","Path","LastUpdated","Commit","Author","Subject"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-cli-vulkan.Dockerfile","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-cli.Dockerfile","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-cpp-cuda.srpm.spec","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-cpp.srpm.spec","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-server-cuda.Dockerfile","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-server-intel.Dockerfile","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-server-musa.Dockerfile","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-server-rocm.Dockerfile","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-server-vulkan.Dockerfile","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/llama-server.Dockerfile","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/apps.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/devshells.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/docker.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/jetson-support.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/nixpkgs-instances.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/package-gguf-py.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/package.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/python-scripts.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/scope.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/nix/sif.nix","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.devops/tools.sh","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.dockerignore","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.ecrc","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.editorconfig","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.flake8","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/ISSUE_TEMPLATE/010-bug-compilation.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/ISSUE_TEMPLATE/011-bug-results.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/ISSUE_TEMPLATE/019-bug-misc.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/ISSUE_TEMPLATE/020-enhancement.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/ISSUE_TEMPLATE/030-research.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/ISSUE_TEMPLATE/040-refactor.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/ISSUE_TEMPLATE/config.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/labeler.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/pull_request_template.md","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/bench.yml.disabled","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/build.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/close-issue.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/docker.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/editorconfig.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/gguf-publish.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/labeler.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/python-check-requirements.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/python-lint.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/python-type-check.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.github/workflows/server.yml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.gitignore","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.gitmodules","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/.pre-commit-config.yaml","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/AUTHORS","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/CMakeLists.txt","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/CMakePresets.json","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/CODEOWNERS","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/CONTRIBUTING.md","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/LICENSE","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
